timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1750703224909,14,characters/id,200,OK,Thread Group 1-21,true,,268,32,32,14,1,0,T-OZEROVA.local
1750703224896,28,character/2,404,Not Found,Thread Group 1-22,false,,273,32,32,28,1,1,T-OZEROVA.local
1750703224805,119,characters,200,OK,Thread Group 1-24,true,,340,32,32,119,1,0,T-OZEROVA.local
1750703224911,15, HTTP Request Sampler,200,OK,Thread Group 1-13,true,,340,32,32,15,1,0,T-OZEROVA.local
1750703224913,14, HTTP Request Sampler,200,OK,Thread Group 1-12,true,,340,31,31,14,1,0,T-OZEROVA.local
1750703224915,13,characters/id,404,Not Found,Thread Group 1-14,false,,273,30,30,13,1,1,T-OZEROVA.local
1750703224916,16,character/2,404,Not Found,Thread Group 1-15,false,,273,31,31,16,1,1,T-OZEROVA.local
1750703224917,16,characters,200,OK,Thread Group 1-16,true,,340,31,31,16,1,0,T-OZEROVA.local
1750703224918,16, HTTP Request Sampler,200,OK,Thread Group 1-18,true,,340,31,31,16,1,0,T-OZEROVA.local
1750703224919,16, HTTP Request Sampler,200,OK,Thread Group 1-17,true,,340,31,31,16,1,0,T-OZEROVA.local
1750703224920,15,character/2,200,OK,Thread Group 1-19,true,,268,31,31,15,1,0,T-OZEROVA.local
1750703224922,14,characters,200,OK,Thread Group 1-20,true,,340,32,32,14,1,0,T-OZEROVA.local
1750703224923,15, HTTP Request Sampler,200,OK,Thread Group 1-21,true,,340,33,33,15,1,0,T-OZEROVA.local
1750703224925,14,characters/id,404,Not Found,Thread Group 1-22,false,,273,33,33,14,1,1,T-OZEROVA.local
1750703224910,31,character/2,200,OK,Thread Group 1-23,true,,273,33,33,31,1,0,T-OZEROVA.local
1750703224812,129,characters,200,OK,Thread Group 1-25,true,,340,33,33,129,1,0,T-OZEROVA.local
1750703224928,16, HTTP Request Sampler,200,OK,Thread Group 1-14,true,,340,33,33,16,1,0,T-OZEROVA.local
1750703224932,13,characters/id,404,Not Found,Thread Group 1-15,false,,273,32,32,13,1,1,T-OZEROVA.local
1750703224933,13,character/2,404,Not Found,Thread Group 1-16,false,,273,32,32,13,1,1,T-OZEROVA.local
1750703224934,13,characters,200,OK,Thread Group 1-18,true,,340,33,33,13,1,0,T-OZEROVA.local
1750703224935,15,characters,200,OK,Thread Group 1-17,true,,340,33,33,15,1,0,T-OZEROVA.local
1750703224936,16,characters/id,404,Not Found,Thread Group 1-19,false,,273,33,33,16,1,1,T-OZEROVA.local
1750703224937,16,character/2,404,Not Found,Thread Group 1-20,false,,273,34,34,16,1,1,T-OZEROVA.local
1750703224938,17,characters,200,OK,Thread Group 1-21,true,,340,34,34,17,1,0,T-OZEROVA.local
1750703224940,16, HTTP Request Sampler,200,OK,Thread Group 1-22,true,,340,35,35,16,1,0,T-OZEROVA.local
1750703224941,17,characters/id,404,Not Found,Thread Group 1-23,false,,273,35,35,17,1,1,T-OZEROVA.local
1750703224926,33,character/2,200,OK,Thread Group 1-24,true,,264,35,35,33,1,0,T-OZEROVA.local
1750703224816,143,characters,200,OK,Thread Group 1-26,true,,340,35,35,143,1,0,T-OZEROVA.local
1750703224945,17, HTTP Request Sampler,200,OK,Thread Group 1-15,true,,340,36,36,17,1,0,T-OZEROVA.local
1750703224947,17,characters/id,404,Not Found,Thread Group 1-16,false,,273,35,35,17,1,1,T-OZEROVA.local
1750703224948,17,character/2,200,OK,Thread Group 1-18,true,,264,35,35,17,1,0,T-OZEROVA.local
1750703224951,15,character/2,404,Not Found,Thread Group 1-17,false,,273,35,35,15,1,1,T-OZEROVA.local
1750703224952,16, HTTP Request Sampler,200,OK,Thread Group 1-19,true,,340,35,35,16,1,0,T-OZEROVA.local
1750703224953,17,characters/id,404,Not Found,Thread Group 1-20,false,,273,36,36,17,1,1,T-OZEROVA.local
1750703224955,16,character/2,404,Not Found,Thread Group 1-21,false,,273,36,36,16,1,1,T-OZEROVA.local
1750703224956,17,characters,200,OK,Thread Group 1-22,true,,340,36,36,17,1,0,T-OZEROVA.local
1750703224958,16, HTTP Request Sampler,200,OK,Thread Group 1-23,true,,340,36,36,16,1,0,T-OZEROVA.local
1750703224959,16,characters/id,404,Not Found,Thread Group 1-24,false,,273,36,36,16,1,1,T-OZEROVA.local
